Site,Domain,Count,Date1,Date2,SFid
MZ,coin,1,300,320,210001
MZ,coin,1,118,320,211001
MZ,coin,1,21,320,211002
MZ,coin,1,-30,30,211003
MZ,coin,1,68,320,211008
MZ,coin,1,300,320,212000
MZ,coin,1,260,320,212001
MZ,coin,1,100,320,211004
MZ,coin,1,71,320,211005
MZ,coin,1,161,320,211006
MZ,coin,1,230,320,211007
MZ,coin,1,270,320,211009
MZ,coin,1,41,320,211015
MZ,coin,1,50,320,211010
MZ,coin,1,238,320,211011
MZ,coin,1,268,320,211016
MZ,coin,1,235,320,211012
MZ,coin,1,-4,320,211013
MZ,coin,1,-30,30,211014
MZ,coin,1,310,320,212002
MZ,coin,1,310,320,212003
MZ,coin,1,-9,320,212006
MZ,coin,1,294,320,212004
MZ,coin,1,297,320,212005
MZ,coin,1,276,320,213015
MZ,coin,1,255,320,213012
MZ,coin,1,-30,30,214002
MZ,coin,1,300,320,214040
MZ,coin,1,1,70,214018
MZ,coin,1,-30,70,214023
MZ,coin,1,42,70,214069
PI,coin,1,-50,-1,201001
PI,coin,1,141,470,201002
PI,coin,1,161,470,201003
PI,coin,1,22,470,201004
PI,coin,1,41,470,201005
PI,coin,1,-50,-1,201006
PI,coin,1,295,470,201007
PI,coin,1,297,470,201008
PI,coin,1,260,470,201009
PI,coin,1,280,470,201010
PI,coin,1,341,470,201011
PI,coin,1,355,470,201012
PI,coin,1,383,470,201013
PI,coin,1,353,470,201014
PI,coin,1,350,470,201015
PI,coin,1,375,470,201016
PI,coin,1,350,470,201017
PI,coin,1,350,470,201018
PI,coin,1,353,470,201019
PI,coin,1,335,470,201020
PI,coin,1,395,470,201021
PI,coin,1,425,470,201022
PI,coin,1,300,470,201023
PI,coin,1,325,470,201024
PI,coin,1,400,470,201025
PI,coin,1,425,470,201026
PI,coin,1,425,470,201027
PI,coin,1,425,470,201028
PI,coin,1,425,470,201029
PI,coin,1,425,470,201030
PI,coin,1,450,470,201031
PI,coin,1,425,470,201032
PI,coin,1,450,470,201033
PI,coin,1,335,470,201036
CN,coin,1,-15,40,205001
CN,coin,1,380,450,205002
CN,coin,1,350,450,205003
CN,coin,1,380,450,205004
CN,coin,1,350,450,205005
CN,coin,1,383,450,205006
CN,coin,1,380,450,205007
CN,coin,1,350,450,205008
CN,coin,1,380,450,205009
PT,coin,1,20,60,208001
PT,coin,1,21,60,208002
PT,coin,1,41,60,208003
PT,coin,1,20,60,208004
PT,coin,1,37,60,208005
